CATZOC / Coverage Type / AIS Group,Depths = 200+ m and C == 6,Depths = 200+ m and 1 >= C <= 5 ,Depths = 100 - 200 m and C == 6,Depths = 100 - 200 m and 1 >= C <= 5,Depths = 50 - 100 m and C == 6,Depths = 50 - 100 m and 1 >= C <= 5,Depths = 200+ m and C == 0,Depths = 100 - 200 m and C == 0,Depths = 0 - 50 m and C == 6,Depths = 0 - 50 m and 1 >= C <= 5,Depths = 50 - 100 m and C == 0,Depths = 0 - 50 m and C == 0
CATZOC A + Full Bottom,1,2,3,4,5,6,27,28,17,18,53,56
CATZOC B + Full Bottom,7,8,9,10,11,12,39,40,25,26,57,60
CATZOC B + Moderate + AIS YES,13,14,15,16,19,20,47,48,35,36,71,74
CATZOC B + Moderate + AIS NO,13,14,15,16,19,20,51,52,35,36,79,86
CATZOC C + Full Bottom,21,22,23,24,29,30,58,59,45,46,89,92
CATZOC C + Moderate + AIS YES,31,32,33,34,37,38,65,66,54,55,95,97
CATZOC C + Moderate + AIS NO,31,32,33,34,37,38,72,73,54,55,96,99
CATZOC B + Minimal + AIS YES,41,42,43,44,49,50,80,81,67,68,98,101
CATZOC B + Minimal + AIS NO,41,42,43,44,49,50,84,85,67,68,100,104
CATZOC C + Minimal + AIS YES,61,62,63,64,69,70,93,94,82,83,102,107
CATZOC C + Minimal + AIS NO,75,76,77,78,87,88,103,105,90,91,106,108
No CATZOC + AIS YES,109,110,111,112,113,114,117,118,115,116,127,128
No CATZOC + AIS NO,119,120,121,122,123,124,129,130,125,126,131,132
